rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
0       | 5.27        | 6.68           | 0.7277      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.384          | 0.7941      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.861          | 0.7469      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.844          | 0.7421      | 0.033       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 7.114          | 0.7684      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.009          | 0.762       | 0.033       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.632          | 0.7239      | 0.032       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.722          | 0.7348      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.774          | 0.742       | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.748          | 0.7373      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.551          | 0.7172      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.732          | 0.7355      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.058          | 0.7725      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.507          | 0.7155      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.62           | 0.7242      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.691          | 0.7322      | 0.033       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.882          | 0.7502      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.698          | 0.73        | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.166          | 0.777       | 0.033       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.853          | 0.7501      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 6.611          | 0.7204      | 0.031       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.773          | 0.7406      | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.773          | 0.7403      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.315          | 0.79        | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.787          | 0.7425      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.729          | 0.7352      | 0.032       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.808          | 0.7451      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 6.789          | 0.7412      | 0.031       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.495          | 0.7162      | 0.031       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.755          | 0.7383      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.666          | 0.7294      | 0.031       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 7.002          | 0.7622      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.749          | 0.7366      | 0.034       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.957          | 0.7594      | 0.035       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.238          | 0.7858      | 0.036       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.685          | 0.7305      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.792          | 0.743       | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.708          | 0.7335      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.734          | 0.747       | 0.031       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.725          | 0.7353      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.05           | 0.7716      | 0.031       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.899          | 0.752       | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_abells_cbudget_sdraft_u;
0       | 5.27        | 84.915         | 8.7778      | 0.064       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 11.123         | 1.1756      | 0.035       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 10.255         | 1.0826      | 0.037       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 10.798         | 1.1404      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
7       | 5.27        | 9.651          | 1.0278      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 9.753          | 1.0387      | 0.032       | 0     | 4     |  select find_text('Year 1');
4       | 5.27        | 7.387          | 0.8004      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.556          | 0.815       | 0.031       | 0     | 4     |  select find_text('Total money in (£)');
7       | 5.27        | 6.842          | 0.7464      | 0.033       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.27           | 0.7895      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 7.064          | 0.7685      | 0.031       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 7.07           | 0.7683      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.752          | 0.7368      | 0.034       | 0     | 4     |  select find_text('120');
3       | 5.27        | 7.232          | 0.7849      | 0.031       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.673          | 0.8291      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.844          | 0.7431      | 0.033       | 0     | 4     |  select find_text('68');
2       | 5.27        | 7.203          | 0.7777      | 0.033       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 7.269          | 0.7848      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 7.62           | 0.8197      | 0.033       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 7.228          | 0.7851      | 0.034       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 8.087          | 0.8693      | 0.033       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 7.584          | 0.8197      | 0.036       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 10.562         | 1.1239      | 0.032       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.86           | 0.7489      | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.586          | 0.7248      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.249          | 0.7978      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.621          | 0.7247      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.585          | 0.7237      | 0.034       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.902          | 0.753       | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 6.888          | 0.7514      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.479          | 0.7102      | 0.032       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.789          | 0.7417      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.723          | 0.7323      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.923          | 0.7493      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.708          | 0.734       | 0.033       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.809          | 0.7432      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.132          | 0.7762      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.669          | 0.7276      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.688          | 0.7307      | 0.031       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.76           | 0.7376      | 0.033       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.825          | 0.7481      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.587          | 0.722       | 0.033       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 6.938          | 0.7585      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.933          | 0.7555      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 6.621          | 0.7206      | 0.031       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.894          | 0.752       | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.882          | 0.7464      | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.382          | 0.797       | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.814          | 0.7385      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.825          | 0.74        | 0.032       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.965          | 0.7572      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.052          | 0.7626      | 0.033       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.521          | 0.7172      | 0.048       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.75           | 0.7371      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.71           | 0.7338      | 0.031       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.728          | 0.7353      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.551          | 0.7167      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.64           | 0.7268      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.081          | 0.7723      | 0.031       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.642          | 0.7277      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.864          | 0.7413      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.87           | 0.7437      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.912          | 0.7513      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.871          | 0.7454      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 6.991          | 0.7586      | 0.031       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.992          | 0.7567      | 0.033       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_abells_cbudget_sdraft_u;
0       | 5.27        | 86.181         | 8.9463      | 0.082       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 11.17          | 1.1801      | 0.035       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 10.084         | 1.0701      | 0.037       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 10.719         | 1.1333      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
7       | 5.27        | 9.761          | 1.0381      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 9.931          | 1.0559      | 0.032       | 0     | 4     |  select find_text('Year 1');
4       | 5.27        | 7.398          | 0.8         | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.627          | 0.8253      | 0.033       | 0     | 4     |  select find_text('Total money in (£)');
7       | 5.27        | 7.494          | 0.8158      | 0.031       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.295          | 0.7836      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 7.226          | 0.7784      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 7.338          | 0.8104      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 7.0            | 0.7571      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 7.425          | 0.8011      | 0.033       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.882          | 0.8464      | 0.031       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.805          | 0.7431      | 0.032       | 0     | 4     |  select find_text('68');
2       | 5.27        | 7.088          | 0.771       | 0.032       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 7.083          | 0.7706      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 7.326          | 0.7935      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 7.023          | 0.7635      | 0.031       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.583          | 0.8189      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 7.338          | 0.7953      | 0.033       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 10.289         | 1.0933      | 0.032       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.864          | 0.7473      | 0.033       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.521          | 0.7199      | 0.031       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.101          | 0.7778      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.851          | 0.7456      | 0.033       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.724          | 0.7317      | 0.033       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.847          | 0.744       | 0.031       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 6.943          | 0.7563      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.6            | 0.7218      | 0.032       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.855          | 0.7451      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.632          | 0.727       | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.939          | 0.7524      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.718          | 0.7313      | 0.033       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.819          | 0.741       | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.136          | 0.7756      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.562          | 0.7184      | 0.031       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.733          | 0.7351      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.755          | 0.7354      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.82           | 0.7469      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.658          | 0.729       | 0.033       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 9.046          | 0.9664      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 7.086          | 0.9535      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 6.884          | 0.7449      | 0.033       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 7.225          | 0.7971      | 0.034       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.973          | 0.7613      | 0.034       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.548          | 0.8227      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.987          | 0.7652      | 0.033       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 7.099          | 0.7729      | 0.036       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.896          | 0.7533      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 6.901          | 0.751       | 0.031       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.788          | 0.7521      | 0.065       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.012          | 0.7603      | 0.033       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.742          | 0.735       | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.786          | 0.7435      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.587          | 0.7206      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.716          | 0.7327      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.146          | 0.7754      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.663          | 0.7288      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.75           | 0.7352      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.664          | 0.7288      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 7.027          | 0.7643      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.699          | 0.7313      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.178          | 0.7738      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.82           | 0.7456      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_abells_cbudget_sdraft_u;
0       | 5.27        | 85.749         | 8.8277      | 0.058       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 10.845         | 1.1428      | 0.034       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 9.709          | 1.0291      | 0.033       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 10.369         | 1.1014      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
7       | 5.27        | 10.013         | 1.0635      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 9.699          | 1.0318      | 0.032       | 0     | 4     |  select find_text('Year 1');
4       | 5.27        | 7.51           | 0.8126      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.472          | 0.8052      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
7       | 5.27        | 6.856          | 0.7452      | 0.031       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.068          | 0.7716      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 7.097          | 0.7715      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 7.145          | 0.7768      | 0.032       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.802          | 0.7429      | 0.032       | 0     | 4     |  select find_text('120');
3       | 5.27        | 7.118          | 0.774       | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.623          | 0.8242      | 0.031       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.802          | 0.7428      | 0.033       | 0     | 4     |  select find_text('68');
2       | 5.27        | 7.11           | 0.7728      | 0.032       | 0     | 4     |  select find_text('January 2014');
2       | 5.27        | 7.045          | 0.8001      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
2       | 5.27        | 7.303          | 0.7906      | 0.033       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 7.105          | 0.7728      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.585          | 0.8206      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 7.269          | 0.7897      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 10.336         | 1.0978      | 0.031       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.78           | 0.7392      | 0.031       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.513          | 0.714       | 0.032       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.129          | 0.7772      | 0.032       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.834          | 0.7414      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.978          | 0.7556      | 0.033       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 7.023          | 0.7652      | 0.038       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 7.204          | 0.7849      | 0.035       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.849          | 0.7453      | 0.036       | 0     | 4     |  select find_text('12');
2       | 5.27        | 7.045          | 0.7624      | 0.032       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.95           | 0.7519      | 0.033       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.862          | 0.7452      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.536          | 0.7193      | 0.033       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.618          | 0.7268      | 0.031       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.082          | 0.7697      | 0.033       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.627          | 0.7248      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.802          | 0.7394      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.876          | 0.7444      | 0.033       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.93           | 0.7527      | 0.033       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.771          | 0.7424      | 0.032       | 0     | 4     |  select find_text('Mth 6');
0       | 5.27        | 7.122          | 0.7778      | 0.032       | 0     | 4     |  select find_text('Total Expenditure = (D) = B + C');
0       | 5.27        | 6.796          | 0.7424      | 0.032       | 0     | 4     |  select find_text(' Annual charge £');
? SET ROLE tfog_acoast_cstatistics_stask_u;
0       | 5.27        | 6.599          | 0.7268      | 0.032       | 0     | 4     |  select find_text('diaddvur');
0       | 5.27        | 6.817          | 0.7449      | 0.032       | 0     | 4     |  select find_text('Dvůr Králové');
0       | 5.27        | 6.767          | 0.7401      | 0.031       | 0     | 4     |  select find_text('bsys@seznam.cz');
0       | 5.27        | 7.102          | 0.7735      | 0.031       | 0     | 4     |  select find_text('Slouzi k inicializaci promennych - zatim jen retezce');
6       | 5.27        | 6.741          | 0.7359      | 0.032       | 0     | 4     |  select find_text('Product 1');
2       | 5.27        | 6.869          | 0.7484      | 0.032       | 0     | 4     |  select find_text('Year 1');
3       | 5.27        | 6.932          | 0.7517      | 0.032       | 0     | 4     |  select find_text('Total Other Liabilities');
0       | 5.27        | 6.997          | 0.7604      | 0.032       | 0     | 4     |  select find_text('Total money in (£)');
6       | 5.27        | 6.539          | 0.714       | 0.032       | 0     | 4     |  select find_text('12');
2       | 5.27        | 6.719          | 0.7347      | 0.033       | 0     | 4     |  select find_text('Profit margin (%)');
2       | 5.27        | 6.603          | 0.7236      | 0.032       | 0     | 4     |  select find_text('By Vertex42.com');
2       | 5.27        | 6.792          | 0.7387      | 0.033       | 0     | 4     |  select find_text('Milestone #6');
2       | 5.27        | 6.672          | 0.7284      | 0.034       | 0     | 4     |  select find_text('120');
3       | 5.27        | 6.764          | 0.7382      | 0.032       | 0     | 4     |  select find_text('Dissertation III');
3       | 5.27        | 7.088          | 0.7724      | 0.032       | 0     | 4     |  select find_text('Hybrid: 4 days Ft. Lauderdale w/online component');
3       | 5.27        | 6.601          | 0.7225      | 0.032       | 0     | 4     |  select find_text('68');
1       | 5.27        | 6.922          | 0.7521      | 0.032       | 0     | 4     |  select find_text('January 2014');
1       | 5.27        | 6.909          | 0.7501      | 0.032       | 0     | 4     |  select find_text('NAD 48000');
1       | 5.27        | 6.834          | 0.7459      | 0.032       | 0     | 4     |  select find_text('Total Cost Material 5');
0       | 5.27        | 6.783          | 0.7397      | 0.033       | 0     | 4     |  select find_text('Mth 6');
