rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond | nind  | stmt
793     | 2170.0      | 18.773         | 1.9592      | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND acta LIKE 'bells';
829     | 2170.0      | 18.592         | 1.9408      | 0.1         | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND acta LIKE 'coast';
806     | 2170.0      | 18.637         | 1.9472      | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND acta LIKE 'programs';
816     | 2170.0      | 18.407         | 1.9255      | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND acta LIKE 'meaning';
795     | 2170.0      | 18.596         | 1.9432      | 0.101       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND acta LIKE 'arrests';
768     | 2170.0      | 18.48          | 1.9347      | 0.128       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND acta LIKE 'bells';
780     | 2170.0      | 18.477         | 1.932       | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND acta LIKE 'bells';
784     | 2170.0      | 18.278         | 1.9113      | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND acta LIKE 'bells';
758     | 2170.0      | 18.443         | 1.9269      | 0.098       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND acta LIKE 'bells';
786     | 2170.0      | 18.458         | 1.9354      | 0.099       | 2     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND acta LIKE 'bells';
187     | 2370.0      | 18.976         | 1.9859      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND acta LIKE 'bells';
153     | 2370.0      | 18.96          | 1.9788      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND acta LIKE 'bells';
167     | 2370.0      | 19.22          | 2.0084      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND acta LIKE 'bells';
163     | 2370.0      | 19.346         | 2.0138      | 0.103       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND acta LIKE 'bells';
190     | 2370.0      | 19.565         | 2.0322      | 0.106       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND acta LIKE 'bells';
170     | 2370.0      | 19.319         | 2.0113      | 0.106       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND acta LIKE 'bells';
172     | 2370.0      | 18.932         | 1.9743      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND acta LIKE 'bells';
166     | 2370.0      | 18.915         | 1.9734      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND acta LIKE 'bells';
172     | 2370.0      | 19.136         | 1.9953      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND acta LIKE 'bells';
143     | 2370.0      | 19.029         | 1.9846      | 0.105       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND acta LIKE 'bells';
150     | 2370.0      | 18.643         | 1.9469      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND casetype LIKE 'budget' AND acta LIKE 'bells';
182     | 2370.0      | 18.544         | 1.938       | 0.103       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND casetype LIKE 'statistics' AND acta LIKE 'bells';
174     | 2370.0      | 18.605         | 1.9525      | 0.107       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND casetype LIKE 'logistics' AND acta LIKE 'bells';
178     | 2370.0      | 18.452         | 1.9299      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND casetype LIKE 'employees' AND acta LIKE 'bells';
165     | 2370.0      | 18.722         | 1.9547      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND casetype LIKE 'salary' AND acta LIKE 'bells';
140     | 2370.0      | 18.652         | 1.9486      | 0.105       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND casetype LIKE 'budget' AND acta LIKE 'bells';
148     | 2370.0      | 18.61          | 1.9426      | 0.103       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND casetype LIKE 'statistics' AND acta LIKE 'bells';
165     | 2370.0      | 18.379         | 1.9209      | 0.103       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND casetype LIKE 'logistics' AND acta LIKE 'bells';
170     | 2370.0      | 18.669         | 1.9522      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND casetype LIKE 'salary' AND acta LIKE 'bells';
159     | 2370.0      | 18.791         | 1.9613      | 0.106       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND casetype LIKE 'employees' AND acta LIKE 'bells';
150     | 2370.0      | 18.761         | 1.9567      | 0.104       | 3     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND casetype LIKE 'budget' AND acta LIKE 'bells';
41      | 2570.0      | 19.207         | 2.0024      | 0.137       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND acta LIKE 'bells';
35      | 2570.0      | 19.194         | 2.0035      | 0.11        | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND casetype LIKE 'budget' AND acta LIKE 'bells';
29      | 2570.0      | 19.114         | 1.9903      | 0.109       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND casetype LIKE 'salary' AND acta LIKE 'bells';
43      | 2570.0      | 19.506         | 2.0405      | 0.108       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND casetype LIKE 'employees' AND acta LIKE 'bells';
39      | 2570.0      | 19.545         | 2.034       | 0.11        | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND casetype LIKE 'statistics' AND acta LIKE 'bells';
26      | 2570.0      | 19.281         | 2.0087      | 0.111       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND acta LIKE 'bells';
34      | 2570.0      | 19.225         | 2.0019      | 0.108       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND casetype LIKE 'logistics' AND acta LIKE 'bells';
34      | 2570.0      | 19.073         | 1.9884      | 0.111       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND casetype LIKE 'employees' AND acta LIKE 'bells';
35      | 2570.0      | 19.274         | 2.0075      | 0.107       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND casetype LIKE 'budget' AND acta LIKE 'bells';
27      | 2570.0      | 19.121         | 1.9927      | 0.112       | 4     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND casetype LIKE 'budget' AND acta LIKE 'bells';
10      | 2770.0      | 20.672         | 2.1538      | 0.112       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND acta LIKE 'bells';
8       | 2770.0      | 20.902         | 2.171       | 0.115       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND acta LIKE 'bells';
6       | 2770.0      | 21.188         | 2.2022      | 0.115       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND casetype LIKE 'salary' AND udim1 LIKE 'public' AND acta LIKE 'bells';
11      | 2770.0      | 21.01          | 2.1842      | 0.117       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND casetype LIKE 'employees' AND udim1 LIKE 'public' AND acta LIKE 'bells';
15      | 2770.0      | 20.782         | 2.157       | 0.116       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND casetype LIKE 'statistics' AND udim1 LIKE 'protected' AND acta LIKE 'bells';
4       | 2770.0      | 20.738         | 2.1533      | 0.116       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'protected' AND acta LIKE 'bells';
14      | 2770.0      | 20.89          | 2.1766      | 0.163       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND casetype LIKE 'logistics' AND udim1 LIKE 'protected' AND acta LIKE 'bells';
9       | 2770.0      | 20.47          | 2.1297      | 0.112       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND casetype LIKE 'employees' AND udim1 LIKE 'protected' AND acta LIKE 'bells';
12      | 2770.0      | 20.565         | 2.1441      | 0.115       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND acta LIKE 'bells';
7       | 2770.0      | 20.261         | 2.1106      | 0.113       | 5     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND acta LIKE 'bells';
1       | 2970.0      | 20.791         | 2.1689      | 0.117       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND acta LIKE 'bells';
1       | 2970.0      | 20.659         | 2.1506      | 0.118       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND acta LIKE 'bells';
3       | 2970.0      | 20.825         | 2.1686      | 0.118       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND casetype LIKE 'salary' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND acta LIKE 'bells';
1       | 2970.0      | 20.623         | 2.1561      | 0.192       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND casetype LIKE 'employees' AND udim1 LIKE 'public' AND udim2 LIKE 'text_doc' AND acta LIKE 'bells';
2       | 2970.0      | 20.75          | 2.1613      | 0.121       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND casetype LIKE 'statistics' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND acta LIKE 'bells';
0       | 2970.0      | 20.687         | 2.1562      | 0.123       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND acta LIKE 'bells';
3       | 2970.0      | 20.682         | 2.155       | 0.149       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND casetype LIKE 'logistics' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND acta LIKE 'bells';
1       | 2970.0      | 20.642         | 2.1481      | 0.121       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND casetype LIKE 'employees' AND udim1 LIKE 'protected' AND udim2 LIKE 'table' AND acta LIKE 'bells';
3       | 2970.0      | 20.639         | 2.1528      | 0.118       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND udim2 LIKE 'table' AND acta LIKE 'bells'; 
1       | 2970.0      | 20.386         | 2.1256      | 0.117       | 6     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND udim2 LIKE 'table' AND acta LIKE 'bells';
0       | 3170.0      | 21.26          | 2.2177      | 0.122       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND udim3 LIKE 'importnat' AND acta LIKE 'bells';
0       | 3170.0      | 21.795         | 2.2672      | 0.123       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND casetype LIKE 'budget' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND udim3 LIKE 'importnat' AND acta LIKE 'bells';
0       | 3170.0      | 21.83          | 2.268       | 0.125       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND casetype LIKE 'salary' AND udim1 LIKE 'public' AND udim2 LIKE 'diagram' AND udim3 LIKE 'importnat' AND acta LIKE 'bells';
0       | 3170.0      | 21.409         | 2.2315      | 0.145       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND casetype LIKE 'employees' AND udim1 LIKE 'public' AND udim2 LIKE 'text_doc' AND udim3 LIKE 'importnat' AND acta LIKE 'bells'; 
1       | 3170.0      | 21.446         | 2.2366      | 0.126       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND casetype LIKE 'statistics' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND udim3 LIKE 'very important' AND acta LIKE 'bells';
0       | 3170.0      | 21.589         | 2.2444      | 0.127       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND udim3 LIKE 'very important' AND acta LIKE 'bells';
2       | 3170.0      | 21.783         | 2.2627      | 0.129       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND casetype LIKE 'logistics' AND udim1 LIKE 'protected' AND udim2 LIKE 'text_doc' AND udim3 LIKE 'very important' AND acta LIKE 'bells';
1       | 3170.0      | 21.539         | 2.239       | 0.125       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND casetype LIKE 'employees' AND udim1 LIKE 'protected' AND udim2 LIKE 'table' AND udim3 LIKE 'not important' AND acta LIKE 'bells';
2       | 3170.0      | 21.315         | 2.2194      | 0.122       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND udim2 LIKE 'table' AND udim3 LIKE 'not important' AND acta LIKE 'bells'; 
1       | 3170.0      | 21.245         | 2.2128      | 0.121       | 7     | 0     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND casetype LIKE 'budget' AND udim1 LIKE 'private' AND udim2 LIKE 'table' AND udim3 LIKE 'neutral' AND acta LIKE 'bells';
? CREATE INDEX acta_index ON alfbasic(acta);
80000   | 1770.0      | 9.855          | 1.5234      | 0.25        | 0     | 1     | SELECT * FROM alfbasic;
7999    | 1970.0      | 17.812         | 1.8947      | 0.095       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog';
8051    | 1970.0      | 16.608         | 1.7888      | 0.096       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock';
7905    | 1970.0      | 17.535         | 1.883       | 0.095       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays';
7976    | 1970.0      | 16.74          | 1.8045      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments';
7997    | 1970.0      | 16.85          | 1.8151      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting';
7850    | 1970.0      | 16.728         | 1.8022      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges';
8131    | 1970.0      | 16.583         | 1.793       | 0.137       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals';
8067    | 1970.0      | 16.855         | 1.8175      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms';
8101    | 1970.0      | 16.518         | 1.7895      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues';
7923    | 1970.0      | 16.542         | 1.7833      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum';
15929   | 1970.0      | 19.834         | 2.1574      | 0.097       | 1     | 1     | SELECT * FROM alfbasic WHERE stage LIKE 'draft';
15996   | 1970.0      | 19.249         | 2.0909      | 0.096       | 1     | 1     | SELECT * FROM alfbasic WHERE stage LIKE 'task';
15954   | 1970.0      | 19.951         | 2.1596      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE stage LIKE 'ready';
16144   | 1970.0      | 19.527         | 2.1178      | 0.095       | 1     | 1     | SELECT * FROM alfbasic WHERE stage LIKE 'delete';
15977   | 1970.0      | 19.139         | 2.0828      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE stage LIKE 'close';
15974   | 1970.0      | 17.644         | 1.9296      | 0.096       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'budget';
16002   | 1970.0      | 18.201         | 1.9863      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'statistics';
15838   | 1970.0      | 18.09          | 1.9817      | 0.093       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'logistics';
15988   | 1970.0      | 17.899         | 1.9554      | 0.093       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'employees';
16198   | 1970.0      | 17.98          | 1.9675      | 0.094       | 1     | 1     | SELECT * FROM alfbasic WHERE casetype LIKE 'salary';
793     | 1246.71     | 5.349          | 0.667       | 0.331       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND acta LIKE 'bells';
829     | 1256.12     | 5.532          | 0.6617      | 0.148       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND acta LIKE 'coast';
806     | 1249.59     | 5.512          | 0.6589      | 0.149       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND acta LIKE 'programs';
816     | 1250.56     | 5.414          | 0.6486      | 0.148       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND acta LIKE 'meaning';
795     | 1251.64     | 5.502          | 0.6586      | 0.149       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND acta LIKE 'arrests';
768     | 1246.7      | 5.154          | 0.6226      | 0.149       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND acta LIKE 'bells';
780     | 1246.71     | 5.171          | 0.6263      | 0.148       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND acta LIKE 'bells';
784     | 1246.71     | 5.193          | 0.6207      | 0.147       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND acta LIKE 'bells';
758     | 1246.71     | 5.443          | 0.6464      | 0.16        | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND acta LIKE 'bells';
786     | 1246.7      | 5.312          | 0.6333      | 0.151       | 2     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND acta LIKE 'bells';
187     | 1266.13     | 5.179          | 0.6205      | 0.156       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND acta LIKE 'bells';
153     | 1266.13     | 5.102          | 0.6114      | 0.158       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND acta LIKE 'bells';
167     | 1266.13     | 5.099          | 0.6237      | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND stage LIKE 'ready' AND acta LIKE 'bells';
163     | 1266.13     | 5.035          | 0.6102      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND stage LIKE 'delete' AND acta LIKE 'bells';
190     | 1266.13     | 5.184          | 0.6237      | 0.152       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND stage LIKE 'close' AND acta LIKE 'bells';
170     | 1266.13     | 5.108          | 0.6172      | 0.155       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND stage LIKE 'draft' AND acta LIKE 'bells';
172     | 1266.13     | 5.208          | 0.627       | 0.152       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND stage LIKE 'task' AND acta LIKE 'bells';
166     | 1266.13     | 5.068          | 0.6137      | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND stage LIKE 'ready' AND acta LIKE 'bells';
172     | 1266.13     | 5.051          | 0.6143      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND stage LIKE 'delete' AND acta LIKE 'bells';
143     | 1266.13     | 5.092          | 0.6168      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND stage LIKE 'close' AND acta LIKE 'bells';
150     | 1266.13     | 4.993          | 0.6058      | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND casetype LIKE 'budget' AND acta LIKE 'bells';
182     | 1266.13     | 5.114          | 0.6183      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND casetype LIKE 'statistics' AND acta LIKE 'bells';
174     | 1266.13     | 5.082          | 0.6153      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'sundays' AND casetype LIKE 'logistics' AND acta LIKE 'bells';
178     | 1266.13     | 5.093          | 0.607       | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'enlistments' AND casetype LIKE 'employees' AND acta LIKE 'bells';
165     | 1266.13     | 5.249          | 0.6259      | 0.163       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'painting' AND casetype LIKE 'salary' AND acta LIKE 'bells';
140     | 1266.13     | 5.174          | 0.6247      | 0.156       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'surges' AND casetype LIKE 'budget' AND acta LIKE 'bells';
148     | 1266.13     | 5.089          | 0.6161      | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'pedals' AND casetype LIKE 'statistics' AND acta LIKE 'bells';
165     | 1266.13     | 5.038          | 0.6073      | 0.152       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'booms' AND casetype LIKE 'logistics' AND acta LIKE 'bells';
170     | 1266.13     | 5.013          | 0.6086      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'tissues' AND casetype LIKE 'salary' AND acta LIKE 'bells';
159     | 1266.13     | 5.031          | 0.6096      | 0.153       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'vacuum' AND casetype LIKE 'employees' AND acta LIKE 'bells';
150     | 1266.13     | 5.164          | 0.6224      | 0.154       | 3     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND casetype LIKE 'budget' AND acta LIKE 'bells';
41      | 1285.68     | 5.155          | 0.6239      | 0.16        | 4     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'fog' AND stage LIKE 'draft' AND casetype LIKE 'budget' AND acta LIKE 'bells';
35      | 1285.68     | 5.193          | 0.6279      | 0.16        | 4     | 1     | SELECT * FROM alfbasic WHERE tenant LIKE 'drydock' AND stage LIKE 'task' AND casetype LIKE 'budget' AND acta LIKE 'bells';
