rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
1       | 0.26        | 7.251          | 0.7879      | 0.044       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 8.778          | 0.9381      | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE abells_sdraft_u;
1       | 0.26        | 10.073         | 1.0669      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 5.996          | 0.6621      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.967          | 0.6562      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.444          | 0.7141      | 0.037       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.237          | 0.6849      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.198          | 0.6786      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.229          | 0.6814      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.448          | 0.7034      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.46           | 0.7074      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.54           | 0.7157      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.714          | 0.7337      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.508          | 0.7126      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.625          | 0.7235      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.833          | 0.7444      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.773          | 0.7386      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 7.128          | 0.7741      | 0.034       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.842          | 0.7469      | 0.037       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.943          | 0.7553      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.68           | 0.7292      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.673          | 0.7287      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.659          | 0.7289      | 0.034       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.624          | 0.7212      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.577          | 0.7166      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.735          | 0.7328      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.448          | 0.8044      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.345          | 0.6935      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.337          | 0.6926      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.294          | 0.6891      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.241          | 0.6998      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.492          | 0.7081      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.222          | 0.6821      | 0.04        | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.277          | 0.6866      | 0.034       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.211          | 0.68        | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.215          | 0.6809      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.319          | 0.6901      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.074          | 0.6657      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.332          | 0.6941      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.619          | 0.7209      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.579          | 0.7168      | 0.036       | 1     | 35328 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.214          | 0.6835      | 0.037       | 1     | 96325 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.628          | 0.7232      | 0.035       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.347          | 0.6984      | 0.039       | 1     | 53248 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.365          | 0.6953      | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_u;
1       | 0.26        | 9.729          | 1.0342      | 0.04        | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.951          | 0.6575      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.147          | 0.6733      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 8.31           | 0.8894      | 0.036       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 6.278          | 0.6908      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.279          | 0.6892      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.355          | 0.6938      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.229          | 0.6837      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.556          | 0.7164      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.474          | 0.7116      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.46           | 0.7046      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.423          | 0.7042      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.395          | 0.6985      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.466          | 0.7083      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.463          | 0.705       | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.53           | 0.7118      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.358          | 0.6945      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.23           | 0.6861      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.352          | 0.6934      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.399          | 0.6986      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.372          | 0.6958      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.485          | 0.7068      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.321          | 0.6903      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 8.648          | 0.924       | 0.036       | 1     | 435200|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.584          | 0.7202      | 0.035       | 1     | 96325 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.505          | 0.7131      | 0.036       | 1     | 53248 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.363          | 0.6949      | 0.037       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 8.716          | 0.9306      | 0.035       | 2     | 435200|  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.43           | 0.7048      | 0.036       | 2     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 7.176          | 0.7774      | 0.036       | 2     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 7.246          | 0.7938      | 0.043       | 2     | 37807 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 8.105          | 0.8848      | 0.042       | 3     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.718          | 0.7473      | 0.044       | 3     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
1       | 0.26        | 10.065         | 1.091       | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.462          | 0.7159      | 0.041       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.487          | 0.7199      | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.544          | 0.7246      | 0.042       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.439          | 0.7144      | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.289          | 0.7027      | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.373          | 0.7076      | 0.042       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 8.774          | 0.9481      | 0.042       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 6.375          | 0.7072      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.329          | 0.7051      | 0.041       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.42           | 0.712       | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.385          | 0.7094      | 0.043       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.416          | 0.7078      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.558          | 0.7244      | 0.041       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.669          | 0.7321      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.7            | 0.7344      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.608          | 0.7244      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.48           | 0.7075      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.352          | 0.6963      | 0.037       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.413          | 0.7012      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.298          | 0.6932      | 0.069       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.287          | 0.6904      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.571          | 0.6166      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.247          | 0.6841      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.227          | 0.6825      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.286          | 0.6883      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.317          | 0.6921      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.19           | 0.6794      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.267          | 0.686       | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.295          | 0.6894      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.223          | 0.6846      | 0.034       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.423          | 0.702       | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.304          | 0.6906      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.581          | 0.7198      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.506          | 0.7102      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.474          | 0.712       | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.243          | 0.6849      | 0.037       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.612          | 0.7225      | 0.035       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.676          | 0.7288      | 0.037       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.715          | 0.737       | 0.037       | 1     | 157457|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.249          | 0.6841      | 0.034       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.26           | 0.6863      | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.244          | 0.6905      | 0.04        | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_u;
1       | 0.26        | 72.371         | 7.4731      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 10.65          | 1.1283      | 0.048       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 10.365         | 1.0993      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 13.256         | 1.3859      | 0.038       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 9.752          | 1.0362      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 9.859          | 1.0463      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.311          | 0.6965      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.329          | 0.6933      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.343          | 0.6947      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.357          | 0.6957      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.311          | 0.6962      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.203          | 0.6804      | 0.036       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.232          | 0.6845      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.373          | 0.6975      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.113          | 0.6715      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.168          | 0.6791      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.277          | 0.6926      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.306          | 0.6905      | 0.035       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.154          | 0.6784      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.407          | 0.7049      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.605          | 0.727       | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 5.889          | 0.6474      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.975          | 0.7561      | 0.037       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 8.481          | 0.9077      | 0.035       | 1     | 435200|  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 7.181          | 0.781       | 0.034       | 1     | 96325 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.407          | 0.7015      | 0.035       | 1     | 53248 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 6.297          | 0.689       | 0.036       | 1     | 37807 |  WHERE casetype LIKE 'budget' AND bstream is not Null;
1       | 0.26        | 8.519          | 0.9105      | 0.036       | 2     | 435200|  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.466          | 0.7098      | 0.036       | 2     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.53           | 0.7118      | 0.035       | 2     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.33           | 0.6919      | 0.035       | 2     | 37807 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' AND bstream is not Null;
1       | 0.26        | 6.444          | 0.709       | 0.034       | 3     | 96325 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.687          | 0.7276      | 0.036       | 3     | 53248 |  WHERE casetype LIKE 'budget' AND tenant LIKE 'fog' and udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE acoast_stask_u;
1       | 0.26        | 9.664          | 1.0294      | 0.038       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.439          | 0.7028      | 0.036       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.399          | 0.7031      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.636          | 0.7223      | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.516          | 0.7108      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.505          | 0.7153      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.34           | 0.6933      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 8.591          | 0.9176      | 0.035       | 0     | 435200|  WHERE bstream is not Null;
1       | 0.26        | 6.348          | 0.6936      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.329          | 0.6916      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
1       | 0.26        | 6.502          | 0.7133      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.306          | 0.6933      | 0.036       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.624          | 0.7254      | 0.034       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.591          | 0.7225      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.807          | 0.74        | 0.036       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.663          | 0.7285      | 0.035       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.726          | 0.7323      | 0.037       | 0     | 157457|  WHERE bstream is not Null;
1       | 0.26        | 6.497          | 0.7082      | 0.038       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.499          | 0.7086      | 0.035       | 0     | 53248 |  WHERE bstream is not Null;
1       | 0.26        | 6.4            | 0.6992      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.609          | 0.7206      | 0.035       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.39           | 0.6974      | 0.036       | 0     | 37807 |  WHERE bstream is not Null;
